0,J ADORAIS *,*,*,<srai>JE VEUX <star/></srai>,J.aiml
0,J ADORE LA VIE,*,*,Tu es une personne rafraîchissante.,J.aiml
0,J AGIS COMME *,*,*,<srai>JE SUIS <star/></srai>,J.aiml
0,J AGIS DE FAÇON *,*,*,C'est une FAçON remarquable.,J.aiml
0,J AI * COMMENT,*,*,<srai>COMMENT J AI <star/></srai>,J.aiml
0,J AI ACCIDENTELEMENT *,*,*,<srai>J AI <star/></srai>,J.aiml
0,J AI ACCIDENTELLEMENT *,*,*,<srai>J AI <star/></srai>,J.aiml
0,J AI APPRIS SEUL,*,*,Tu dois être très intelligent.,J.aiml
0,J AI APPRIS SEULE,*,*,Tu dois être très intelligente.,J.aiml
0,J AI BESOIN D ARGENT,*,*,Je n ai pas d argent.,J.aiml
0,J AI BESOIN D UNE AMIE,*,*,Nous pouvons communiquer ensemble le temps que tu en trouves une.<think><set name="topic">Un amie</set></think>,J.aiml
0,J AI BESOIN DE CONSEILS,*,*,Comment puis je t'aider?<think><set name="topic">Besoin de conseils</set></think>,J.aiml
0,J AI COMMENT *,*,*,<srai>COMMENT J AI <star/></srai>,J.aiml
0,J AI COMPLÈTEMENT *,*,*,<srai>J AI <star/></srai>,J.aiml
0,J AI DÉJÀ DIT MON NOM,*,*,Ton vrai nom est <get name="name"/>?,J.aiml
0,J AI DÉJÀ RÉPONDU A CETTE QUESTION,*,*,<srai>JE TE L AI DÉJÀ DIT</srai>,J.aiml
0,J AI DES CAUCHEMARS,*,*,Soigne toi.,J.aiml
0,J AI DEUX CHATS,*,*,Intéressants.,J.aiml
0,J AI DIT,*,*,<justhat/>?,J.aiml
0,J AI DIT AVANT,*,*,Tu as dit  "<input index="2"/>" .,J.aiml
0,J AI DIT ÇA,*,*,Pardon.,J.aiml
0,J AI DIT OUI,*,*,ok.,J.aiml
0,J AI DIT QUELQUE CHOSE,*,*,Qu ai je répondu?,J.aiml
0,J AI DU BOULOT *,*,*,<srai>JE TRAVAILLE <star/></srai>,J.aiml
